Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:53:01.010,61,0.5030540228,0.3731812835,0.0000000000,0.1084299982,0.0000000000,0.0667046905,0.0000000000,0.5034046769,0.3698718548,0.1393554956,0.0000000000,0.0000000000,0.0668607503,0.0000000000,0.0249468312,0.0000000000,0.0000000000,0.0060946075,0.0136237545,0.0253598727,0.0000000000,0.0000000000,0.0000000000,0.1629516333,0.1714283675,0.0000000000,0.0000000000,0.0504059494,0.0530693866,0.0513090752,0.0517336912,0.0599108450,0.0109998006,0.1144117489,0.0647455230,0.0827075392,0.0910462514,0.0662750676,0.0623123944,0.0222010668,0.0201161969,0.2455863804,0.2457439005,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0739915669,0.0759160370,0.0879839584,0.0836102962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0728980899,0.1999943256,-0.0316089913,-0.0769882947,0.2001256943,-0.0190649293
20:20:54:39.012,61,0.0509992875,0.0264388490,0.0313913785,0.0000000000,0.0000000000,0.0900574028,0.0000000000,0.0522986762,0.0263953637,0.0000000000,0.0000000000,0.0000000000,0.0905432031,0.0000000000,0.0210968778,0.0000000000,0.0000000000,0.0031208694,0.0125768175,0.0229894947,0.0000000000,0.0014850643,0.0000000000,0.1402635574,0.1143016070,0.0000000000,0.0000000000,0.0394680873,0.0394650884,0.0563373379,0.0519112907,0.0531135909,0.0081458949,0.0954287723,0.0538489856,0.0502944365,0.0538464263,0.0656348094,0.0581915714,0.0224811435,0.0173747409,0.3120739758,0.3121993244,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0800196454,0.0779001638,0.0583491214,0.0579751544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0198512711,0.0140611678,0.0010361020,0.0186665319,0.0141774863,0.0018790521
20:20:55:06.013,61,0.0000000000,0.0000000000,0.0000000000,0.1830515862,0.0000000000,0.1149686724,0.0110062798,0.0000000000,0.0000000000,0.2211261094,0.0000000000,0.0000000000,0.1153840050,0.0108625637,0.0233160257,0.0000000000,0.0000000000,0.0000000000,0.0057530920,0.0145464167,0.0000000000,0.0012897680,0.0000000000,0.1149097160,0.1102498546,0.0000000000,0.0000000000,0.0345957577,0.0336704142,0.0496584326,0.0468332395,0.0350376293,0.0074066101,0.0701334849,0.0470389500,0.0420964807,0.0443335362,0.0376935229,0.0361632891,0.0145999640,0.0117841056,0.2449505776,0.2450045049,0.0000000000,0.0000000000,0.0000000000,0.0042647193,0.0569611825,0.0631797314,0.0311862640,0.0308317523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1232991666,-0.0449953154,-0.0013943622,-0.1250223815,-0.0448851511,-0.0044967090
20:20:55:16.013,61,0.0000000000,0.0000000000,0.0000000000,0.1813464314,0.0000000000,0.1120126694,0.0131447343,0.0000000000,0.0000000000,0.2192900777,0.0000000000,0.0000000000,0.1124211177,0.0128682572,0.0217610877,0.0000000000,0.0000000000,0.0000000000,0.0043159113,0.0114261545,0.0000000000,0.0003568339,0.0000000000,0.1243207455,0.1125693321,0.0000000000,0.0000000000,0.0301846117,0.0286305640,0.0367717743,0.0324704498,0.0285809115,0.0071071940,0.0557831824,0.0344151333,0.0341634899,0.0363832489,0.0342974328,0.0313045606,0.0113036884,0.0092262160,0.2330093831,0.2330147773,0.0000000000,0.0000000000,0.0000000000,0.0021239403,0.0532072447,0.0593647510,0.0260211378,0.0257293526,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1222915053,-0.0479416177,-0.0008480037,-0.1239909232,-0.0478318781,-0.0041387505
20:20:55:17.012,61,0.0000000000,0.0000000000,0.0000000000,0.1789299697,0.0000000000,0.1121846959,0.0204201862,0.0000000000,0.0000000000,0.2167372257,0.0000000000,0.0000000000,0.1126000062,0.0201479681,0.0216737892,0.0000000000,0.0000000000,0.0000000000,0.0040176958,0.0109095452,0.0000000000,0.0002030005,0.0000000000,0.1241729781,0.1124083623,0.0000000000,0.0000000000,0.0299221352,0.0283324048,0.0364629328,0.0320395529,0.0284433924,0.0071474109,0.0532979593,0.0335177518,0.0336038209,0.0358304791,0.0339579135,0.0309241805,0.0109538781,0.0089505408,0.2321810275,0.2321850359,0.0000000000,0.0000000000,0.0000000000,0.0018987915,0.0528075472,0.0587314479,0.0250628944,0.0246062204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1208795607,-0.0501531884,-0.0004250538,-0.1225218773,-0.0500436984,-0.0038560540
20:20:55:20.007,61,0.0000000000,0.0000000000,0.0000000000,0.1790927798,0.0000000000,0.1120678708,0.0237894487,0.0000000000,0.0000000000,0.2170035988,0.0000000000,0.0000000000,0.1124789715,0.0234868228,0.0213016178,0.0000000000,0.0000000000,0.0000000000,0.0037600000,0.0101801325,0.0000000000,0.0000000000,0.0000000000,0.1264366657,0.1156512573,0.0000000000,0.0000000000,0.0291916318,0.0275822934,0.0357400812,0.0313540623,0.0279301349,0.0070364121,0.0522935838,0.0325450525,0.0324406885,0.0346726067,0.0337139294,0.0305399448,0.0104197087,0.0085721454,0.2317272127,0.2317303121,0.0000000000,0.0000000000,0.0000000000,0.0013448148,0.0520474873,0.0579085276,0.0240365043,0.0235960204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1210227311,-0.0489951149,-0.0006298581,-0.1226179302,-0.0488853194,-0.0039850632
20:20:55:21.004,61,0.0000000000,0.0000000000,0.0000000000,0.1790927798,0.0000000000,0.1120678708,0.0237894487,0.0000000000,0.0000000000,0.2170035988,0.0000000000,0.0000000000,0.1124789715,0.0234868228,0.0213016178,0.0000000000,0.0000000000,0.0000000000,0.0037600000,0.0101801325,0.0000000000,0.0000000000,0.0000000000,0.1264366657,0.1156512573,0.0000000000,0.0000000000,0.0291916318,0.0275822934,0.0357400812,0.0313540623,0.0279301349,0.0070364121,0.0522935838,0.0325450525,0.0324406885,0.0346726067,0.0337139294,0.0305399448,0.0104197087,0.0085721454,0.2317272127,0.2317303121,0.0000000000,0.0000000000,0.0000000000,0.0013448148,0.0520474873,0.0579085276,0.0240365043,0.0235960204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1210227311,-0.0489951149,-0.0006298581,-0.1226179302,-0.0488853194,-0.0039850632
20:20:55:23.003,61,0.0000000000,0.0000000000,0.0000000000,0.1807907969,0.0000000000,0.1174683124,0.0349173881,0.0000000000,0.0000000000,0.2187145948,0.0000000000,0.0000000000,0.1180230007,0.0345496237,0.0215484742,0.0000000000,0.0000000000,0.0000000000,0.0047794087,0.0104561439,0.0000000000,0.0000000000,0.0000000000,0.1257181317,0.1157014519,0.0000000000,0.0000000000,0.0291998889,0.0276273489,0.0374415219,0.0335842110,0.0281975586,0.0073016360,0.0518342294,0.0316736549,0.0319598764,0.0341854841,0.0348561853,0.0315335765,0.0102171535,0.0084496299,0.2320082039,0.2320121229,0.0000000000,0.0000000000,0.0000000000,0.0010619874,0.0522230603,0.0582696907,0.0239284970,0.0236400142,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1219983250,-0.0543385074,0.0002772775,-0.1236691922,-0.0542296655,-0.0034242980
20:20:55:25.003,61,0.0000000000,0.0000000000,0.0000000000,0.1818208098,0.0000000000,0.1192432791,0.0455623046,0.0000000000,0.0000000000,0.2199745476,0.0000000000,0.0000000000,0.1198448241,0.0451937579,0.0215085912,0.0000000000,0.0000000000,0.0000000000,0.0051270612,0.0102021378,0.0000000000,0.0000000000,0.0000000000,0.1257180125,0.1156933457,0.0000000000,0.0000000000,0.0291122049,0.0275649875,0.0378958322,0.0342518762,0.0277886577,0.0073916977,0.0512035340,0.0308928732,0.0313671976,0.0335926637,0.0349689834,0.0315688476,0.0098206829,0.0081506893,0.2311837375,0.2311875075,0.0000000000,0.0000000000,0.0000000000,0.0008218320,0.0518204421,0.0580124222,0.0229209252,0.0227770619,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1227072775,-0.0562963560,0.0006053292,-0.1243027747,-0.0561875738,-0.0032210229
20:20:55:25.014,61,0.0000000000,0.0000000000,0.0000000000,0.1810169816,0.0000000000,0.1206883043,0.0518574789,0.0000000000,0.0000000000,0.2192013264,0.0000000000,0.0000000000,0.1212793142,0.0514996350,0.0214755740,0.0000000000,0.0000000000,0.0000000000,0.0053385836,0.0100901164,0.0000000000,0.0000000000,0.0000000000,0.1201371923,0.1127428338,0.0000000000,0.0000000000,0.0287673455,0.0272349752,0.0376663208,0.0340198874,0.0274483021,0.0074430699,0.0502657779,0.0302574355,0.0308363270,0.0330563150,0.0348029509,0.0313965604,0.0095640877,0.0079563931,0.2311650962,0.2311687768,0.0000000000,0.0000000000,0.0000000000,0.0007527578,0.0514040329,0.0576629676,0.0219550189,0.0220745988,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1222893000,-0.0605091229,0.0013501747,-0.1238200665,-0.0604008287,-0.0027464260
